duration_ms,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,key,mode,time_signature,explicit,popularity
200013,0.341,0.929,-5.36,0.116,0.00128,0.000257,0.0805,0.328,122.024,emo,1,0,4,0,35
226240,0.524,0.183,-12.432,0.0797,0.944,0.0019,0.101,0.121,138.765,romance,8,1,4,0,0
138672,0.593,0.498,-8.631,0.0463,0.651,0.0,0.352,0.936,151.974,forro,7,1,4,0,37
258800,0.484,0.869,-5.205,0.0417,0.369,0.0,0.26,0.963,177.206,salsa,0,0,4,0,33
186466,0.706,0.798,-4.733,0.0374,0.00416,0.00283,0.106,0.812,103.017,children,5,0,4,0,1
188426,0.833,0.521,-9.133,0.247,0.685,0.0,0.197,0.814,123.965,kids,2,1,4,0,8
249010,0.455,0.731,-4.054,0.0527,0.569,5.88e-05,0.133,0.248,152.088,dubstep,11,1,4,0,38
130147,0.586,0.458,-7.459,0.029,0.745,9.15e-06,0.453,0.802,98.15,rock-n-roll,7,1,3,0,32
191493,0.529,0.467,-4.663,0.0263,0.23,0.0,0.0922,0.24,132.09,country,8,1,4,0,0
405957,0.338,0.523,-6.858,0.0419,0.54,1.05e-05,0.0757,0.336,139.644,groove,9,1,4,0,30
150000,0.649,0.538,-9.793,0.0918,0.0483,0.401,0.0928,0.355,160.075,emo,0,0,4,1,68
282133,0.428,0.813,-4.478,0.025,0.0622,0.00388,0.154,0.347,91.053,acoustic,7,0,4,0,48
242672,0.621,0.632,-9.23,0.03,0.147,0.915,0.11,0.102,131.017,synth-pop,1,1,4,0,50
126206,0.634,0.948,-5.461,0.0602,0.0218,0.204,0.675,0.0338,144.912,trance,0,1,4,0,29
546300,0.282,0.393,-10.0,0.0324,0.0333,0.0,0.102,0.106,129.891,world-music,0,1,4,0,44
162009,0.541,0.753,-6.512,0.0511,0.0677,0.0,0.108,0.572,149.743,indie-pop,0,1,4,0,0
159172,0.665,0.296,-15.971,0.271,0.593,0.0,0.0649,0.78,121.009,ska,7,0,4,1,34
293773,0.731,0.714,-3.578,0.079,0.197,3.5e-06,0.1,0.747,90.025,trip-hop,6,1,4,0,20
237453,0.415,0.398,-7.204,0.0268,0.314,0.0,0.106,0.13,143.582,world-music,4,1,4,0,53
148556,0.475,0.0989,-9.55,0.0474,0.853,0.0,0.271,0.3,133.713,chill,10,1,4,0,68
153435,0.788,0.466,-7.811,0.131,0.0229,0.00115,0.161,0.295,85.036,drum-and-bass,11,0,4,0,16
200021,0.33,0.157,-9.526,0.0357,0.423,0.0,0.0945,0.213,125.23,garage,4,1,3,0,25
246237,0.611,0.385,-10.06,0.0661,0.828,0.0,0.126,0.358,147.954,mandopop,9,1,4,0,50
233306,0.617,0.319,-8.445,0.029,0.609,0.0,0.122,0.324,133.821,acoustic,2,1,4,0,48
871093,0.427,0.867,-7.668,0.952,0.876,0.0,0.968,0.326,52.695,comedy,1,1,4,0,22
289866,0.812,0.831,-6.547,0.0463,0.246,0.789,0.0699,0.648,92.011,trip-hop,9,0,4,0,56
251871,0.198,0.477,-10.124,0.0377,0.0501,0.00987,0.0778,0.0948,94.939,dubstep,1,0,4,0,41
261665,0.849,0.701,-4.407,0.06,0.407,0.0,0.112,0.505,98.005,reggaeton,6,0,4,0,75
206059,0.739,0.797,-3.488,0.185,0.371,0.0,0.0921,0.444,67.297,dancehall,4,0,3,1,43
138204,0.55,0.732,-6.88,0.105,0.0864,0.0,0.0425,0.246,153.836,electro,0,1,4,0,61
255040,0.382,0.833,-3.641,0.0501,0.000388,1.06e-05,0.456,0.141,174.052,drum-and-bass,4,0,4,0,23
191637,0.758,0.81,-4.496,0.288,0.215,1.54e-05,0.157,0.347,91.995,dancehall,0,1,4,1,0
400880,0.448,0.726,-5.372,0.0427,0.793,1.41e-05,0.108,0.39,83.42,guitar,0,1,5,0,25
161000,0.751,0.29,-8.17,0.0456,0.846,0.0,0.113,0.683,75.034,acoustic,10,1,4,1,50
200026,0.552,0.499,-12.078,0.131,0.65,0.0685,0.117,0.665,131.952,afrobeat,2,1,4,0,29
512365,0.665,0.315,-16.679,0.0297,0.577,4.84e-06,0.364,0.544,111.057,romance,2,0,4,0,32
157253,0.557,0.406,-10.905,0.0518,0.97,0.895,0.32,0.747,95.919,tango,7,0,4,0,18
149481,0.394,0.192,-12.143,0.0449,0.987,0.0,0.12,0.202,88.21,romance,3,0,4,0,0
256013,0.462,0.778,-4.365,0.0313,0.0226,0.0,0.108,0.219,77.004,grunge,9,0,4,0,50
249866,0.59,0.926,-1.865,0.048,0.486,0.0,0.0849,0.617,126.038,j-idol,6,1,4,0,18
226600,0.437,0.301,-11.153,0.0397,0.865,0.000249,0.217,0.559,110.409,tango,9,0,4,0,21
